MSA,Province_State,Admin2
St. Louis-Farmington,Missouri,Lincoln
St. Louis-Farmington,Missouri,Warren
St. Louis-Farmington,Missouri,Franklin
St. Louis-Farmington,Missouri,Jefferson
St. Louis-Farmington,Missouri,St. Charles
St. Louis-Farmington,Missouri,St. Louis
St. Louis-Farmington,Missouri,St. Louis City
St. Louis-Farmington,Missouri,Farmington
St. Louis-Farmington,Illinois,Monroe
St. Louis-Farmington,Illinois,St. Clair
St. Louis-Farmington,Illinois,Madison
St. Louis-Farmington,Illinois,Macoupin
St. Louis-Farmington,Illinois,Jersey
St. Louis-Farmington,Illinois,Clinton
St. Louis-Farmington,Illinois,Calhoun
St. Louis-Farmington,Illinois,Bond
Cape Girardeau-Sikeston,Missouri,Cape Girardeau
Cape Girardeau-Sikeston,Missouri,Bollinger
Cape Girardeau-Sikeston,Illinois,Alexander
Cape Girardeau-Sikeston,Missouri,Sikeston
Springfield,Missouri,Greene
Springfield,Missouri,Christian
Springfield,Missouri,Webster
Springfield,Missouri,Polk
Springfield,Missouri,Dallas
Joplin,Missouri,Jasper
Joplin,Missouri,Newton
Columbia-Jefferson City,Missouri,Howard
Columbia-Jefferson City,Missouri,Boone
Columbia-Jefferson City,Missouri,Cooper
Columbia-Jefferson City,Missouri,Moniteau
Columbia-Jefferson City,Missouri,Cole
Columbia-Jefferson City,Missouri,Callaway
Columbia-Jefferson City,Missouri,Osage
Kansas City,Missouri,Jackson
Kansas City,Missouri,Clay
Kansas City,Missouri,Cass
Kansas City,Missouri,Platte
Kansas City,Missouri,Lafayette
Kansas City,Missouri,Ray
Kansas City,Missouri,Clinton
Kansas City,Missouri,Bates
Kansas City,Missouri,Caldwell
Kansas City,Kansas,Johnson
Kansas City,Kansas,Wyandotte
Kansas City,Kansas,Leavenworth
Kansas City,Kansas,Miami
Kansas City,Kansas,Linn
St. Joseph,Missouri,Andrew
St. Joseph,Missouri,Buchanan
St. Joseph,Missouri,DeKalb
St. Joseph,Kansas,Doniphan
